,Source File,Sentence Pair,Word Counts,Gold Standard Value,Edit Distance,Jaccard Distance,BLEU Metric Score
0,test-STS,"['The problem likely will mean corrective changes before the shuttle fleet starts flying again.', 'He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.\n']","[14, 18]",4.4,13,0.72,0.7857142857142857
1,test-STS,"['The technology-laced Nasdaq Composite Index .IXIC inched down 1 point, or 0.11 percent, to 1,650.', ""The broad Standard & Poor's 500 Index .SPX inched up 3 points, or 0.32 percent, to 970.\n""]","[15, 17]",0.8,12,0.7241379310344828,0.6873463795341382
2,test-STS,"['""It\'s a huge black eye,"" said publisher Arthur Ochs Sulzberger Jr., whose family has controlled the paper since 1896.', '""It\'s a huge black eye,"" Arthur Sulzberger, the newspaper\'s publisher, said of the scandal.\n']","[19, 14]",3.6,13,0.4444444444444444,0.7372034762267199
3,test-STS,"['SEC Chairman William Donaldson said there is a ""building confidence out there that the cop is on the beat.""', '""I think there\'s a building confidence that the cop is on the beat.""\n']","[19, 13]",3.4,9,0.4090909090909091,0.543109744147864
4,test-STS,"['Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.', 'In New York, Vivendi shares were 1.4 percent down at $18.29.\n']","[16, 11]",1.4,16,0.8,0.46764904294661
5,test-STS,"[""Myanmar's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital, her personal physician said."", ""Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said Friday.\n""]","[29, 28]",4.6,18,0.5121951219512195,0.8762276085723283
6,test-STS,"['Darren Dopp, a Spitzer spokesman, declined to comment late Thursday.', ""John Heine, a spokesman for the commission in Washington, declined to comment on Mr. Spitzer's criticism.\n""]","[10, 16]",1.4,13,0.6521739130434783,0.5377358490566038
7,test-STS,"['Bremer said one initiative is to launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.', 'Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details.\n']","[25, 27]",3.6,15,0.4594594594594595,0.8633540372670807
8,test-STS,"[""In afternoon trading in Europe, France's CAC-40 advanced and Britain's FTSE 100 each gained 0.7 percent, while Germany's DAX index rose 0.6 percent."", ""In Europe, France's CAC-40 rose 1.3 percent, Britain's FTSE 100 declined 0.2 percent and Germany's DAX index gained 0.6 percent.\n""]","[23, 20]",2.0,13,0.35714285714285715,0.8229047083804765
9,test-STS,"[""He later learned that the incident was caused by the Concorde's sonic boom."", ""He later found out the alarming incident had been caused by Concorde's powerful sonic boom.\n""]","[13, 15]",5.0,7,0.45,0.7717391304347826
10,test-STS,"['Sens. John Kerry and Bob Graham declined invitations to speak.', 'The no-shows were Sens. John Kerry of Massachusetts and Bob Graham of Florida.\n']","[10, 13]",3.6,9,0.5882352941176471,0.6582278481012658
11,test-STS,"[""Page said it's also possible that genes on the Y chromosome may influence gender-specific differences in disease susceptibility."", 'He added that genes on the Y might play a role in influencing gender-specific differences in disease susceptibility.\n']","[18, 18]",4.4,12,0.5925925925925926,0.8558067710966915
12,test-STS,"['One of the most well studied facets of temperament is how people respond to novelty.', 'One of the defining and well-studied characteristics of temperament is how people react to novelty.\n']","[15, 15]",4.8,5,0.5,0.79
13,test-STS,"['But butterflies exposed to an earlier light cycle, from 1am to 1pm, orientated themselves towards the south-east.', 'But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.\n']","[17, 17]",4.6,10,0.6153846153846154,0.7880300677334272
14,test-STS,"['RT Jones analyst Juli Niemann said Grant was ""the one we were all pulling for.', 'He has a very good reputation,"" RT Jones analyst Juli Niemann said of Grant.\n']","[15, 14]",1.4,16,0.6923076923076923,0.8589025447185289
15,test-STS,"['A key question was whether France, which infuriated Washington by leading the charge against U.N. authorization for the war, would vote ""Yes"" or abstain.', 'France, which infuriated Washington by leading the charge against U.N. approval for the war, also sought changes.\n']","[24, 17]",2.6,13,0.5483870967741935,0.6666601540435979
16,test-STS,"['Mel Gibson\'s passion-stirring Biblical epic ""The Passion of Christ"" will open in the United States on Feb. 25 - Ash Wednesday on the Roman Catholic calendar.', 'Mel Gibson is negotiating with Newmarket Films to distribute his embattled Biblical epic ""The Passion of Christ"" in the United States.\n']","[26, 21]",2.0,22,0.5945945945945946,0.7363396346259365
17,test-STS,"['Dunlap won both the swimsuit competition and the talent portion of the competition, singing ""If I Could.""', 'She won the talent portion singing ""If I Could"" and also won in evening wear.\n']","[17, 15]",2.8,18,0.4782608695652174,0.6348494271574912
18,test-STS,"['Governor Gray Davis estimated yesterday that the fires could cost nearly $2 billion.', 'State officials estimated the cost at nearly $2 billion.\n']","[13, 9]",3.5,8,0.5555555555555556,0.5899299772241843
19,test-STS,"['The American Express Corp. has pledged at least $3 million of more than $5 million needed.', 'The city had requested federal funds, but withdrew that request when American Express pledged at least $3 million.\n']","[16, 18]",3.2,18,0.6428571428571429,0.6695652173913044
20,test-STS,"['South Asia follows, with 1.1 millions youths infected — 62 percent of them female.', 'Of the 1.1 million infected in south Asia, 62% are female.\n']","[14, 11]",4.0,13,0.6956521739130435,0.6312616979566322
21,test-STS,"['An hour later, an Israeli helicopter fired missiles at a car in Gaza City, killing two Hamas officials and at least five other people.', 'An hour later Israeli attack helicopters rained missiles on a car in Gaza City, killing seven people, Palestinian sources said.\n']","[24, 20]",4.25,15,0.5757575757575758,0.8647497910345769
22,test-STS,"['Executive recruiters say that finding a seasoned chief merchandising officer will perhaps be the trickiest of all hires because there is such a dearth of good ones.', 'Executive recruiters say that finding a seasoned chief merchandising officer perhaps will be the trickiest of all hires.\n']","[27, 18]",3.75,11,0.2692307692307692,0.6951200575629211
23,test-STS,"['AAA spokesman Jerry Cheske said prices may have affected some plans, but cheap hotel deals mitigated the effect.', 'AAA spokesman Jerry Cheske said prices might have affected some plans, but cheap hotel deals made up for it.\n']","[18, 19]",5.0,5,0.36,0.9193008626100269
24,test-STS,"['The decades-long conflict has killed more than 10,000 people in the resource-rich province, most of them civilians.', 'More than 10,000 people, most of them civilians, have been killed in three decades of insurgency.\n']","[17, 16]",4.0,18,0.56,0.7892688334403247
25,test-STS,"['Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15 with 85-mph wind.', 'Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15, classified as a Category 1 hurricane with maximum sustained winds of 85 mph.\n']","[18, 28]",4.0,13,0.42857142857142855,0.6374269005847953
26,test-STS,"['She countersued for $125 million, saying Gruner & Jahr broke its contract with her by cutting her out of key editorial decisions.', ""She countersued for $125 million, saying G+J broke its contract with her by cutting her out of key editorial decisions and manipulated the magazine's financial figures.\n""]","[22, 26]",3.5,10,0.34375,0.7455621301775148
27,test-STS,"['The Standard Edition is $15,000 per processor or $300 per named user.', 'The Standard Edition One is a single processor version of the Oracle Standard Edition Database.\n']","[12, 15]",2.5,11,0.7142857142857143,0.5520833333333334
28,test-STS,"['Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.', 'Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.\n']","[23, 22]",2.0,15,0.6578947368421053,0.7967479674796748
29,test-STS,"['Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.', 'Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.\n']","[14, 11]",4.4,7,0.5263157894736842,0.801691512694518
30,test-STS,"[""Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators."", 'His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia.\n']","[23, 17]",3.6,11,0.34615384615384615,0.688015284696757
31,test-STS,"['But Odette is the first to form over the Caribbean Sea in December, the Center said.', 'It is the first named storm to develop in the Caribbean in December.\n']","[16, 13]",4.2,11,0.6,0.7346485315144525
32,test-STS,"[""Leon Williams' body was found inside his third-floor apartment at 196 Bay St., in Tompkinsville."", 'The dead man, Leon Williams, was found in his third-floor apartment.\n']","[15, 11]",3.4,14,0.5238095238095238,0.6467754485086281
33,test-STS,"[""It's the first such drill since the September 11 terrorist attacks on New York and Washington."", ""It is the nation's first large-scale counterterrorism exercise since the Sept. 11 terrorist attacks.\n""]","[16, 14]",4.0,12,0.6086956521739131,0.801980198019802
34,test-STS,"['The AFL-CIO is waiting until October to decide if it will endorse a candidate.', 'The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.\n']","[14, 18]",4.0,12,0.5217391304347826,0.6379310344827587
35,test-STS,"['Ursel Reisen confirmed it operated the coach, but gave no details other than to say the passengers were of mixed ages.', 'Ursel Reisen confirmed it had been operating the coach, but declined to give details of the passengers other than to say they were of mixed ages.\n']","[21, 26]",4.8,11,0.32142857142857145,0.8082191780821918
36,test-STS,"['A total of 17 cases have been confirmed in the southern city of Basra, the Organization said.', 'A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.\n']","[17, 23]",3.6,16,0.5384615384615384,0.6592592592592592
37,test-STS,"['He was also expected to visit Yemen and Bahrain during his tour of the region.', 'Khatami, who arrived in Beirut Monday, was also to visit Syria, Yemen and Bahrain.\n']","[15, 14]",3.4,17,0.6666666666666666,0.7469879518072289
38,test-STS,"['General Myers told reporters that ""at first blush, it doesn\'t look like any rules were broken"".', '""At first blush, it doesn\'t look like any rules were broken,"" said Gen. Richard Myers, chairman of the Joint Chiefs of Staff.\n']","[16, 22]",3.6,19,0.4838709677419355,0.6984126984126984
39,test-STS,"[""Proving that the Millville son's sacrifice would not go unsung, Mayor James Quinn ordered all city flags flown at half-mast for the next 30 days."", 'In Millville yesterday, Mayor James Quinn ordered all city flags flown at half-staff for the next 30 days.\n']","[25, 18]",3.4,11,0.43333333333333335,0.668314633505343
40,test-STS,"['Tom Kasmer, a 14-year-old from Belmont, N.C., got a word that sounded like ""zistee"" during yesterday\'s competition.', 'The 14-year-old national spelling finalist who attends school in Belmont, N.C., got a word that sounded like ""zistee"" during competition Wednesday.\n']","[17, 21]",3.75,12,0.4666666666666667,0.7094594594594594
41,test-STS,"['Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said that scenario is one among many that investigators are considering.', 'Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said investigators are considering the scenario.\n']","[27, 22]",4.25,9,0.17857142857142858,0.8638465505716724
42,test-STS,"['They found molecules that can only be produced when ozone breaks down cholesterol.', 'And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.\n']","[13, 17]",4.25,10,0.5454545454545454,0.7129629629629629
43,test-STS,"['It was developed with consultation from more than 300 leaders in academia, industry, government and the public.', 'The plan, called The NIH Roadmap, was developed over 14 months with help from more than 300 consultants in industry and academia.\n']","[17, 22]",3.25,19,0.5517241379310345,0.7923076923076923
44,test-STS,"['It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.', 'And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre.\n']","[20, 29]",3.846,10,0.3448275862068966,0.7161290322580646
45,test-STS,"['Earlier this month, RIM had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share.', 'Excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share.\n']","[21, 18]",1.2,14,0.7,0.672719901335856
46,test-STS,"['The budget analysis comes as negotiations between the City Council and the Bloomberg administration heat up.', 'Budget negotiations between the mayor and the City Council are entering high gear.\n']","[16, 13]",3.2,13,0.6818181818181818,0.6953523382388819
47,test-STS,"['Also at increased risk are those whose immune systems suppressed by medications or by diseases such as cancer, diabetes and AIDS.', 'Also at increased risk are those with suppressed immune systems due to illness or medicines.\n']","[21, 15]",4.0,14,0.5925925925925926,0.6571213351097457
48,test-STS,"['Local police authorities are treating the explosion as a criminal matter and nothing has been ruled out.', 'Acting New Haven Police Chief Francisco Ortiz said police were treating the explosion as a criminal matter.\n']","[17, 17]",3.4,16,0.6666666666666666,0.8148148148148148
49,test-STS,"['""For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents,"" according to extracts released yesterday.', '""For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents,"" Mrs Clinton writes.\n']","[20, 18]",3.2,5,0.2962962962962963,0.8128660611737148
50,test-STS,"[""In 2001 and 2002, wire transfers from 4 of the company's 40 accounts totaled more than $3.2 billion, prosecutors said."", 'Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.\n']","[20, 23]",3.8,18,0.46875,0.8091603053435115
51,test-STS,"['Stony Brook University launched the study in 1996, after earlier studies indicated a possible connection between electromagnetic fields and cancer.', 'The State University at Stony Brook launched the study in 1996, after earlier studies indicated a possible connection.\n']","[20, 18]",3.2,10,0.32,0.7637723675871622
52,test-STS,"['Earlier, they had defied a police order and cried ""Allahu Akbar"" (God is Greatest) as Bashir walked to his seat in the tightly guarded courtroom.', 'Earlier, Bashir\'s supporters had defied a police order and cried ""Allahu Akbar (God is Greatest)"" as he walked to his seat.\n']","[25, 21]",4.0,11,0.2647058823529412,0.7965523159296971
53,test-STS,"[""Metropolitan Ambulance spokesman James Howe said five people were taken to hospital and three were treated at the scene after yesterday's incident."", 'Spokesman James Howe said five children aged between 4 and 17 were taken to hospital with neck and chest injuries, while three others were treated at the scene.\n']","[22, 28]",3.333,20,0.5833333333333334,0.8136645962732919
54,test-STS,"[""Chiron already has nearly 20 percent acceptances from PowderJect's shareholders."", 'Chiron has acceptances from holders of nearly 20 percent of PowderJect shares.\n']","[10, 12]",3.667,9,0.4,0.8999285017630321
55,test-STS,"['But it is clear that the Joint Intelligence Committee was not involved.', 'This report was cleared by the Joint Intelligence Committee.\n']","[12, 9]",2.0,8,0.6470588235294118,0.7374799505366645
56,test-STS,"['About 22% of twentysomethings are obese, which is roughly 30 pounds over a healthy weight.', 'About 31 percent of Americans are now obese — roughly 30 or more pounds over a healthy weight.\n']","[15, 18]",2.6,9,0.52,0.7789473684210526
57,test-STS,"['Coupling, an American version of a hit British comedy, will get the valuable Thursday 9:30 p.m. time slot.', 'Coupling, an American version of a hit British comedy, will couple with Friends on Thursdays.\n']","[18, 15]",3.0,8,0.52,0.7771563323308363
58,test-STS,"['Shares of Coke closed New York Stock Exchange trading Thursday at $44.01.', 'In morning trading on the New York Stock Exchange, Coca-Cola shares were down 34 cents at $43.67.\n']","[12, 17]",2.4,13,0.6923076923076923,0.6530612244897959
59,test-STS,"['Her body was found several weeks later in the Green River.', 'Aug. 15, 1982: Remains of Chapman, Hinds and Mills are found in the Green River.\n']","[11, 15]",2.6,14,0.75,0.5555555555555556
60,test-STS,"['""I feel that people that are sending these messages are infringing on my rights and everyone else\'s rights to use their computers,"" said McKechnie.', 'The people who are sending these messages are infringing on my rights and everyone else\'s rights to use your computer,"" McKechnie said.\n']","[24, 22]",4.4,9,0.3333333333333333,0.8748307548904033
61,test-STS,"['""Fighting continued until midnight,"" western rebel commander Ousmane Coulibaly told Reuters by satellite phone on Sunday.', '""They ransacked and burned the two villages completely,"" rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush.\n']","[16, 20]",2.8,12,0.5666666666666667,0.7608695652173914
62,test-STS,"['The reading for both August and July is the best seen since the survey began in August 1997.', 'It is the highest reading since the index was created in August 1997.\n']","[18, 13]",3.0,12,0.6363636363636364,0.6468462995940593
63,test-STS,"['""Generally unwanted - and often pornographic or with fraudulent intent - spam is a nuisance and a distraction,"" Gates writes, warming us up for the punchline.', 'Generally unwanted—and often pornographic or with fraudulent intent —spam is a nuisance and a distraction,"" Gates writes.\n']","[26, 17]",4.2,13,0.41379310344827586,0.7261639096043513
64,test-STS,"[""US Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline, which transports crude from Colombia's second-biggest oil field."", 'U.S. Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline.\n']","[26, 18]",3.2,11,0.41379310344827586,0.5708178448367291
65,test-STS,"['The retailer said it came to the decision after hearing the opinions of customers and associates.', 'The decision came after ""listening to our customers and associates,"" Melissa Berryhill, a spokeswoman for Wal-Mart, said.\n']","[16, 17]",3.2,20,0.6296296296296297,0.7459016393442623
66,test-STS,"['Lord Falconer hailed the changes as ""a new beginning as far as the courts, Crown Prosecution Service and police are concerned"".', '""It\'s a new beginning as far as the courts, Crown Prosecution Service and police are concerned, making the criminal justice system work better.""\n']","[21, 23]",3.0,16,0.4,0.8068965517241379
67,test-STS,"['We need a certifiable pay as you go budget by mid-July or schools wont open in September, Strayhorn said.', 'Texas lawmakers must close a $185.9 million budget gap by the middle of July or the schools wont open in September, Comptroller Carole Keeton Strayhorn said Thursday.\n']","[19, 27]",2.6,18,0.6486486486486487,0.6047904191616766
68,test-STS,"['Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.', 'Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading.\n']","[14, 14]",2.5,13,0.68,0.7626089086679697
69,test-STS,"['The DVD-CCA then appealed to the state Supreme Court.', 'The DVD CCA appealed that decision to the U.S. Supreme Court.\n']","[9, 11]",4.5,5,0.5333333333333333,0.8064516129032258
70,test-STS,"['""We believe we are fully prepared to roll out the [touch-screen] machines for the 2004 presidential primary,"" said Gilles W. Burger, State Board of Elections chairman.', '""We believe we are fully prepared to roll out the revised Diebold machines,"" said Gilles W. Burger, chairman of the Maryland State Board of Elections.\n']","[26, 25]",3.75,13,0.29411764705882354,0.8518068570494098
71,test-STS,"['Country-music station KKCS has suspended two disc jockeys for playing songs by the Dixie Chicks in violation of a ban imposed after one group member criticized President George Bush.', ""A radio station has suspended two disc jockeys for locking themselves in the studio and continuously playing Dixie Chicks songs, violating the station's two-month-old ban on the group's music.\n""]","[29, 29]",3.25,24,0.627906976744186,0.8082901554404145
72,test-STS,"['The technology-laced Nasdaq Composite Index <.IXIC> jumped 26 points, or 1.78 percent, to 1,516.', ""The broad Standard & Poor's 500 Index .SPX was up 8.79 points, or 0.96 percent, at 929.06.\n""]","[14, 17]",0.8,14,0.7741935483870968,0.6656964599987123
73,test-STS,"[""Business Week's online edition reported on Friday that WorldCom and the SEC could announce a settlement as early as Monday."", 'BusinessWeek Online has learned that the settlement could come as early as Monday, May 19.\n']","[20, 15]",3.2,17,0.7241379310344828,0.6494099748550889
74,test-STS,"[""Sovereign's shares lost 74 cents, or 4.5%, to $15.68."", 'Sovereign shares closed on the New York Stock Exchange at $15.68, down 74 cents, or 4.5 percent.\n']","[9, 17]",4.0,17,0.5833333333333334,0.5154639175257731
75,test-STS,"[""Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq."", ""In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.\n""]","[16, 18]",2.2,18,0.6875,0.7474747474747475
76,test-STS,"['The new law requires libraries and schools to use filters or lose federal financing.', 'The 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money.\n']","[14, 16]",2.8,11,0.6666666666666666,0.7777777777777778
77,test-STS,"['In addition, it offered the United States and Israel a way to work around Mr. Arafat.', ""When the prime minister's position was established in the spring, it offered the United States and Israel a way to work around Arafat.\n""]","[16, 23]",3.6,12,0.4444444444444444,0.6
