HITId,Input.babel_id1,Input.babel_id2,Input.babel_jaccard,Input.babel_edit,Input.babel_bert,Input.mrpc_quality,Input.mrpc_id1,Input.mrpc_id2,Input.permutation,babel_answer,mrpc_answer,att_answer,babel_sent1,babel_sent2,mrpc_sent1,mrpc_sent2,att_sent1,att_sent2,most_equiv,least_equiv,best_example
3XH7ZM9YX1TK5Z39WRQYENINYXZ9R1,35,189,0.956521739130435,17,1,1,2559956,2559939,ABM,4,4,0,John became dead because he could not inhale air.,Not being able to take a breath was the cause of the loss of John 's life.,"Says IBM : "" Electrons come down from the poly-silicon emitter , accelerate through the SiGe base , and make a turn in the SOI layer towards the collector contact electrode .",""" Electrons come down from the polysilicon emitter , accelerate through the SiGe base and make a turn in the SOI layer towards the collector contact electrode , "" the company said .","If you received a check from Donald Knuth, what did you do and why did you get it?",John couldn't see the stage with Billy in front of him because he is so short.,M,A,B
3P0I4CQYVX6SKIO1XAJMYCLTLB0OWX,35,190,0.956521739130435,17,1,1,781865,781610,AMB,4,5,2,John became dead because he could not inhale air.,Not being able to take a breath was the cause of the end of John 's life.,"The other 24 members are split between representatives of the securities industry and so-called "" public "" board members .","Of the 24 directors who are not exchange executives , half are representatives of the securities industry and half are designated public members .","If a die is rolled, what is the probability that the number is greater than 4?",Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests.,M,B,M
37VE3DA4YTGQ4Y43Y6S0RPB7ZO4HBM,35,227,0.956521739130435,17,1,1,2024850,2024797,MAB,5,4,0,John became dead because he could not inhale air.,The result of John 's inability to take a breath was the end of the life of him.,"Consolidated operating income for the fourth quarter was $ 570 million , up 26 % from the $ 452 million reported a year ago .",Operating income rose 26 percent to $ 570 million from $ 452 million in the same period a year ago .,How does an IQ test work and what is determined from an IQ test?,The police arrested all of the gang members.,B,A,B
3HEADTGN2ORI26GCZSVU657KPPIRVZ,189,35,0.956521739130435,17,0,1,3259695,3259744,MBA,5,3,0,Not being able to take a breath was the cause of the loss of John 's life.,John became dead because he could not inhale air.,Several current and former ferry officers have said the rules were routinely ignored and seldom enforced .,Some current and former ferry employees have said those rules were often ignored .,Who are the best technology recruiters in San Diego and Orange County?,Steve follows Fred's example in everything. He influences him hugely.,B,A,B
31KSVEGZ33RVHVGHP20QS7QYWYKRW9,190,35,0.956521739130435,17,0,1,1596087,1596024,BAM,5,4,0,Not being able to take a breath was the cause of the end of John 's life.,John became dead because he could not inhale air.,""" It 's a recognition that we were provided faulty information , "" Tom Daschle , the senate Democratic leader , told reporters .",""" It 's a recognition that we were provided faulty information , "" Senate Democratic Leader Tom Daschle of South Dakota told reporters .","What are some misconceptions, and truths that are believed about Iran?","When Tatyana reached the cabin, her mother was sleeping.",M,A,B
372AGES0I34A6VL7Z7WCUQ4550QRX2,227,35,0.956521739130435,17,0,1,684556,684842,BMA,5,4,0,The result of John 's inability to take a breath was the end of the life of him.,John became dead because he could not inhale air.,"If found guilty , Samudra could be sentenced to death under anti-terror laws passed soon after the bombings .","If found guilty , he could be executed under anti-terror laws passed in the weeks after the bombings .","I don't remember my password, phone number nor my login details of my previous Yahoo email account.","George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",M,A,B
3VI0PC2ZAXJ79ITR7FF80VZ0UD6OXQ,34,195,0.956521739130435,16,1,1,851678,851911,ABM,5,3,0,John became dead because he could not take a breath.,Not being able to inhale air was the cause of the loss of John 's life.,"On the other hand , if this will help further establish Steve 's innocence , we welcome it . ""","If draining the ponds in Maryland will further help establish Steve 's innocence , we welcome it . """,What are some good ways for international students in the USA to overcome culture shock?,John was jogging through the park when he saw a man juggling watermelons.,B,A,B
3EKZL9T8Y7L9E3W9C6OV29HPH94HCT,34,196,0.956521739130435,16,1,1,3254081,3254131,AMB,5,3,0,John became dead because he could not take a breath.,Not being able to inhale air was the cause of the end of John 's life.,"The Standard & Poor 's 500 stock index pulled back by nearly 4 points to 1,066.62 .","The broad Standard & Poor 's 500 Index < .SPX > fell 0.70 points , or 0.07 percent , to 1,069.42 .","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Borodino?",I couldn't put the pot on the shelf because it was too tall.,M,A,B
3D0LPO3EAAYW9NJ1CB1AJ969WJ0OYW,34,233,0.956521739130435,16,1,1,2460509,2460489,MAB,5,3,0,John became dead because he could not take a breath.,The result of John 's inability to inhale air was the end of the life of him.,"Site Finder has been visited 65 million times since its introduction , Galvin said .","Through Sunday , Sept . 21 , Site Finder has been visited over 65 million times by Internet users .","You own a restaurant, what will be your online marketing promotion/strategies to stand out?","Tatyana watched as Grandma gathered her small mother into a wide, scrawny embrace.",B,A,B
351S7I5UG8VOWDOQPW0UUXRGT5MJNI,35,188,0.956521739130435,16,1,1,2706235,2706274,MBA,1,5,0,John became dead because he could not inhale air.,Not being able to take a breath was the cause of John 's loss of life.,"Jail warden Gene Fischi said said Selenski and Bolton broke their 12-inch-by-18-inch cell window , threw a mattress to the ground and shimmied down the rope to a second-story roof .","Warden Gene Fischi said the two inmates broke a 12-by-18-inch cell window , threw a mattress to the ground , and clambered down the makeshift rope to a second-story roof .",What do you think of Prime Minister Narendra Modi's decision to introduce new INR 500 and INR 2000 currency notes?,At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,M,A,M
